case_id,model,domain,scc_size,template,lea_root_at_3,lea_risk_any,lea_risk_all,lea_compression,lea_calls,lea_tokens,lea_runtime,sa_root_at_3,sa_risk_any,sa_risk_all,sa_compression,sa_calls,sa_runtime,naive_root_at_3,naive_risk_any,naive_risk_all,naive_compression,naive_invalid,naive_calls,naive_runtime
083_gemini-2.5-pro_sec_ex219_scc_3_direct_mutex,gemini-2.5-pro,sec_ex21,9,direct_mutex,True,True,True,0.5,12.0,57804.0,415.68824219703674,True,True,True,0.4444444444444444,47.0,462.7183220386505,True,True,True,0.6666666666666667,False,1.0,65.08659720420837
084_gemini-2.5-pro_sec_ex219_scc_2_handoff_invariant,gemini-2.5-pro,sec_ex21,9,handoff_invariant,True,True,True,0.5454545454545454,8.0,42177.0,251.92915296554565,True,True,True,0.4444444444444444,35.0,360.3848252296448,True,True,True,0.6666666666666667,False,1.0,54.83889698982239
085_gemini-2.5-pro_debian11_scc_23_temporal_gate,gemini-2.5-pro,debian,11,temporal_gate,False,True,True,0.5454545454545454,11.0,42418.0,278.9070317745209,False,True,False,0.5454545454545454,42.0,544.8226947784424,False,True,True,0.36363636363636365,False,1.0,90.61108708381653
086_gemini-2.5-pro_debian11_scc_23_condition_trigger,gemini-2.5-pro,debian,11,condition_trigger,True,True,True,0.5454545454545454,10.0,58810.0,306.78782415390015,True,True,True,0.5454545454545454,49.0,554.8349320888519,True,True,True,0.5454545454545454,False,1.0,53.745920181274414
087_gemini-2.5-pro_debian12_scc_8_temporal_gate,gemini-2.5-pro,debian,12,temporal_gate,False,True,False,0.5,11.0,52317.0,305.57134890556335,True,True,True,0.5,58.0,465.2023410797119,True,True,True,0.75,False,1.0,86.25283193588257
088_gemini-2.5-pro_debian12_scc_8_condition_trigger,gemini-2.5-pro,debian,12,condition_trigger,True,True,True,0.5,12.0,57879.0,305.76552295684814,True,True,True,0.5,57.0,479.9927279949188,True,True,True,0.75,False,1.0,84.679842710495
089_gemini-2.5-pro_sec_ex219_scc_7_temporal_gate,gemini-2.5-pro,sec_ex21,9,temporal_gate,True,True,True,0.5454545454545454,10.0,44143.0,307.171541929245,True,True,True,0.4444444444444444,50.0,442.3629500865936,True,True,True,0.4444444444444444,False,1.0,83.3458240032196
090_gemini-2.5-pro_sec_ex219_scc_6_condition_trigger,gemini-2.5-pro,sec_ex21,9,condition_trigger,True,True,True,0.5454545454545454,11.0,52142.0,383.50305914878845,True,True,True,0.4444444444444444,42.0,374.84692883491516,True,True,True,0.6666666666666667,False,1.0,51.10451412200928
091_gemini-2.5-pro_sec_ex2110_scc_2_temporal_gate,gemini-2.5-pro,sec_ex21,10,temporal_gate,True,True,True,0.5454545454545454,8.0,22876.0,125.97863698005676,True,True,False,0.5,51.0,913.2452900409698,True,True,True,0.5,False,1.0,70.32442307472229
092_gemini-2.5-pro_sec_ex2110_scc_5_condition_trigger,gemini-2.5-pro,sec_ex21,10,condition_trigger,True,True,True,0.5,10.0,33626.0,245.5776801109314,True,True,False,0.5,50.0,1197.1317598819733,True,True,True,0.5,False,1.0,79.20102906227112
093_gemini-2.5-pro_sec_ex2111_scc_3_temporal_gate,gemini-2.5-pro,sec_ex21,11,temporal_gate,True,True,True,0.5,12.0,46738.0,303.56829595565796,True,True,True,0.5454545454545454,54.0,517.352646112442,True,True,False,0.8181818181818181,False,1.0,72.32069230079651
094_gemini-2.5-pro_sec_ex2111_scc_3_condition_trigger,gemini-2.5-pro,sec_ex21,11,condition_trigger,True,True,True,0.5,12.0,59021.0,411.19634103775024,True,True,True,0.7272727272727273,58.0,472.44412302970886,True,True,False,0.8181818181818181,False,1.0,77.15164279937744
095_gemini-2.5-pro_sec_ex2112_scc_5_temporal_gate,gemini-2.5-pro,sec_ex21,12,temporal_gate,True,True,True,0.5,10.0,39675.0,308.83990120887756,True,True,True,0.5,59.0,424.24843406677246,True,True,True,0.8333333333333334,False,1.0,54.47507095336914
096_gemini-2.5-pro_sec_ex2112_scc_1_condition_trigger,gemini-2.5-pro,sec_ex21,12,condition_trigger,True,True,True,0.4444444444444444,9.0,27805.0,183.94366908073425,True,True,True,0.5,60.0,426.8332829475403,True,True,True,0.75,False,1.0,57.709988832473755
097_gemini-2.5-pro_sec_ex2118_scc_1_temporal_gate,gemini-2.5-pro,sec_ex21,18,temporal_gate,True,True,True,0.4444444444444444,9.0,40990.0,384.0318899154663,True,True,True,0.5,60.0,601.1557121276855,True,True,True,0.7777777777777778,False,1.0,100.61009407043457
098_gemini-2.5-pro_sec_ex2118_scc_2_condition_trigger,gemini-2.5-pro,sec_ex21,18,condition_trigger,True,True,False,0.5454545454545454,8.0,53244.0,331.33145332336426,True,True,True,0.5,57.0,450.8764009475708,True,True,True,0.7222222222222222,False,1.0,81.61861395835876
099_gemini-2.5-pro_bgb9_scc_7_temporal_gate,gemini-2.5-pro,bgb,9,temporal_gate,True,True,True,0.4444444444444444,9.0,61464.0,255.05003595352173,True,True,True,0.4444444444444444,47.0,541.8001971244812,True,True,True,0.6666666666666667,False,1.0,63.03638219833374
