variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file,subset
Full SA-MCGS (locked main),full-sa-mcgs-locked,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5416666666666667,11,,,,239.6987988948822,18,21,27,3,60,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/05_cuad24_scc_21_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.875,3,60,61,196281,202.59436082839966,19,0,0,2,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/05_cuad24_scc_21_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.5416666666666667,11,60,62,198857,194.85741114616394,0,46,23,1,26,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/05_cuad24_scc_21_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.5416666666666667,11,60,60,194226,176.11821913719177,0,48,16,4,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/05_cuad24_scc_21_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.55,9,,,,362.99630784988403,18,27,2,1,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/06_cuad20_scc_28_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.75,5,60,64,276971,219.81104016304016,19,0,0,40,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/06_cuad20_scc_28_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.55,9,60,60,263228,200.5340757369995,0,29,2,7,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/06_cuad20_scc_28_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.55,9,60,62,268411,205.00733017921448,0,31,5,15,20,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/06_cuad20_scc_28_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,07_cuad18_scc_6_direct_mutex,7,cuad,scc_6,18,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,9,,,,297.19686794281006,18,27,10,6,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/07_cuad18_scc_6_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,07_cuad18_scc_6_direct_mutex,7,cuad,scc_6,18,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.7222222222222222,5,60,69,309968,267.61136388778687,19,0,0,57,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/07_cuad18_scc_6_direct_mutex__no-critical-pair-ledger-revisit.json,main20
